Town/City,latitude,longitude,Population 2011
Keynsham,51.420522,-2.492323,15641
Bath centre,51.383982,-2.374935,94782
Bradford on Avon,51.342127,-2.253656,9149
Trowbridge,51.338159,-2.204046,39409
Semington,51.347006,-2.149801,786
Devizes,51.354189,-1.987238,18064
Pewsey,51.337688,-1.76754,3634
Great Bedwyn,51.378792,-1.598167,1175
Hungerford,51.416485,-1.51577,5100
Kintbury,51.399578,-1.44882,2094
Newbury,51.401281,-1.316557,38762
Thatcham,51.393462,-1.241798,26017
Reading centre,51.454047,-0.967741,218705
