Town,latitude,longitude,Population,Section
Keynsham,51.420522,-2.492323,15641,136
Bath centre,51.383982,-2.374935,94782,123
Bradford on Avon,51.342127,-2.253656,9149,106
Trowbridge,51.338159,-2.204046,39409,102
Semington,51.347006,-2.149801,786,98
Devizes,51.354189,-1.987238,18064,86
Pewsey,51.337688,-1.76754,3634,66
Great Bedwyn,51.378792,-1.598167,1175,52
Hungerford,51.416485,-1.51577,5100,44
Kintbury,51.399578,-1.44882,2094,39
Newbury,51.401281,-1.316557,38762,30
Thatcham,51.393462,-1.241798,26017,24
Reading centre,51.454047,-0.967741,218705,1
